sep=;
Size;iSort;sSort
10;0.463392;0.037079
15;0.021231;0.021671
20;0.021544;0.029623
25;0.02297;0.028726
30;0.026833;0.042457
35;0.024106;0.036077
40;0.033634;0.05286
45;0.03502;0.054389
50;0.046375;0.062557
55;0.053499;0.073621
60;0.05607;0.079264
65;0.060969;0.104849
70;0.070901;0.102925
75;0.06742;0.124735
80;0.094371;0.141401
85;3.889514;1.20655
90;0.13014;0.175526
95;0.103967;0.175061
100;0.114272;0.191779
105;0.129506;0.207858
110;0.153823;0.238551
115;0.163991;0.254086
120;0.15842;0.274358
125;0.181571;0.300501
130;0.200665;0.318523
135;0.219977;0.358271
140;0.228529;0.387048
145;0.265346;0.430379
150;5.171117;0.461631

