sep=;
Size;mSortNoGarbage;qSortHoare;qSortBandiera;IntroSort
1000000;146.665457;155.281284;149.739796;126.664587
2000000;274.120715;299.521044;290.275263;247.847147
3000000;433.147745;453.321903;468.692238;380.590756
4000000;587.182373;605.908384;615.48783;504.839501
5000000;748.815183;762.725479;769.812971;639.065236
6000000;905.50656;916.682976;923.656642;784.928809
7000000;1056.163423;1102.387233;1088.310446;932.171894
8000000;1199.888416;1256.279493;1262.782222;1048.564221
9000000;1372.049002;1415.767946;1402.173647;1203.565526
10000000;1534.153768;1590.836378;1623.646992;1341.451042
11000000;1727.01993;1752.443706;1737.326508;1477.566978
12000000;1873.104022;1897.411277;1968.678306;1621.436716
13000000;2061.388576;2076.951566;2093.597438;1754.191879
14000000;2219.13871;2240.677428;2283.954657;1957.882104
15000000;2611.20727;2415.00174;2416.556918;2116.421209
16000000;2576.889726;2577.89106;2605.971584;2200.887712
17000000;2744.170037;2769.144282;2827.399737;2350.521156
18000000;2963.35122;2974.927559;2942.876015;2521.811223
19000000;3189.761583;3085.078788;3123.26202;2737.391406
20000000;3237.165791;3287.686132;3289.050013;2780.259538

